VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-07-01 00:25:32,2020-07-01 00:33:39,1,1.50,1,N,238,75,2,8,0.5,0.5,0,0,0.3,9.3,0
1,2020-07-01 00:03:19,2020-07-01 00:25:43,1,9.50,1,N,138,216,1,26.5,0.5,0.5,0,0,0.3,27.8,0
2,2020-07-01 00:15:11,2020-07-01 00:29:24,1,5.85,1,N,230,88,2,18.5,0.5,0.5,0,0,0.3,22.3,2.5
2,2020-07-01 00:30:49,2020-07-01 00:38:26,1,1.90,1,N,88,232,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2020-07-01 00:31:26,2020-07-01 00:38:02,1,1.25,1,N,37,17,2,6.5,0.5,0.5,0,0,0.3,7.8,0
1,2020-07-01 00:09:00,2020-07-01 00:34:39,1,9.70,1,N,140,61,1,30,3,0.5,0,0,0.3,33.8,2.5
2,2020-07-01 00:44:08,2020-07-01 00:58:12,1,5.27,1,N,137,260,1,16.5,0.5,0.5,6.09,0,0.3,26.39,2.5
2,2020-07-01 00:49:20,2020-07-01 00:56:44,1,1.32,1,N,166,41,2,7.5,0.5,0.5,0,0,0.3,8.8,0
2,2020-07-01 00:21:59,2020-07-01 00:25:12,1,.73,1,N,239,142,1,5,0.5,0.5,1.32,0,0.3,10.12,2.5
2,2020-07-01 00:08:28,2020-07-01 00:36:18,1,18.65,2,N,132,249,1,52,0,0.5,11.06,0,0.3,66.36,2.5
1,2020-07-01 00:26:44,2020-07-01 00:43:46,2,8.00,1,N,138,112,1,24,0.5,0.5,3,0,0.3,28.3,0
2,2020-07-01 00:40:49,2020-07-01 00:51:59,3,4.97,1,N,79,195,2,16,0.5,0.5,0,0,0.3,19.8,2.5
2,2020-07-01 00:03:34,2020-07-01 00:03:42,1,.00,2,N,45,45,1,52,0,0.5,11.06,0,0.3,66.36,2.5
2,2020-07-01 00:08:53,2020-07-01 00:12:42,1,.57,1,N,263,263,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2020-07-01 00:16:31,2020-07-01 00:16:41,1,.00,1,N,263,263,1,2.5,0.5,0.5,1.89,0,0.3,8.19,2.5
2,2020-07-01 00:36:43,2020-07-01 01:02:48,1,9.41,1,N,170,116,1,29.5,0.5,0.5,3,0,0.3,36.3,2.5
1,2020-07-01 00:16:31,2020-07-01 00:16:43,1,2.80,1,Y,141,141,2,2.5,2.5,0.5,0,0,0.3,5.8,2.5
1,2020-07-01 00:33:37,2020-07-01 00:55:26,2,13.50,1,Y,137,254,2,36.5,2.5,0.5,0,0,0.3,39.8,2.5
2,2020-07-01 00:15:15,2020-07-01 00:17:44,1,.48,1,N,140,140,1,4,0.5,0.5,1.56,0,0.3,9.36,2.5
2,2020-07-01 00:38:24,2020-07-01 00:46:57,1,1.67,1,N,238,75,1,8,0.5,0.5,2.79,0,0.3,12.09,0
2,2020-07-01 00:17:10,2020-07-01 00:25:45,1,3.75,1,N,137,75,1,12.5,0.5,0.5,4.89,0,0.3,21.19,2.5
2,2020-07-01 00:40:45,2020-07-01 00:50:45,1,3.45,1,N,263,48,1,12,0.5,0.5,3.16,0,0.3,18.96,2.5
1,2020-07-01 00:53:13,2020-07-01 01:13:32,2,6.70,1,N,249,74,1,21,3,0.5,6,0,0.3,30.8,2.5
1,2020-07-01 00:07:57,2020-07-01 00:14:42,2,1.70,1,N,142,186,2,7.5,3,0.5,0,0,0.3,11.3,2.5
1,2020-07-01 00:26:14,2020-07-01 00:30:19,1,1.10,1,N,140,262,1,6,3,0.5,1,0,0.3,10.8,2.5
2,2020-07-01 00:15:30,2020-07-01 00:22:33,1,1.36,1,N,43,237,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2020-07-01 00:30:01,2020-07-01 00:39:54,1,2.01,1,N,141,239,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,2020-07-01 00:32:58,2020-07-01 00:40:18,3,.77,1,N,114,234,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
1,2020-07-01 00:43:40,2020-07-01 00:46:32,1,1.10,1,N,249,186,2,5,3,0.5,0,0,0.3,8.8,2.5
1,2020-07-01 00:48:48,2020-07-01 00:59:46,1,3.50,1,N,186,262,2,12,3,0.5,0,0,0.3,15.8,2.5
2,2020-07-01 00:25:25,2020-07-01 00:30:18,1,.94,1,N,68,186,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,2020-07-01 00:32:51,2020-07-01 00:38:43,1,1.50,1,N,90,230,1,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2020-07-01 00:02:23,2020-07-01 00:09:57,1,1.86,1,N,79,186,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,2020-07-01 00:17:00,2020-07-01 00:41:20,1,7.85,1,N,164,225,1,25,0.5,0.5,6.98,6.12,0.3,41.9,2.5
1,2020-07-01 00:40:37,2020-07-01 00:47:02,1,1.40,1,N,249,231,1,7,3,0.5,0,0,0.3,10.8,2.5
1,2020-07-01 00:57:28,2020-07-01 01:02:12,1,.90,1,N,186,48,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5
2,2020-07-01 00:09:44,2020-07-01 00:19:33,1,2.33,1,N,166,74,1,9.5,0.5,0.5,2.16,0,0.3,12.96,0
2,2020-07-01 00:13:57,2020-07-01 00:22:10,1,1.41,1,N,74,75,2,7.5,0.5,0.5,0,0,0.3,8.8,0
2,2020-07-01 00:27:00,2020-07-01 00:42:58,1,5.03,1,N,75,249,1,16.5,0.5,0.5,4.06,0,0.3,24.36,2.5
2,2020-07-01 00:45:14,2020-07-01 00:53:13,1,1.44,1,N,114,79,1,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2020-07-01 00:17:22,2020-07-01 00:38:33,1,9.30,1,N,138,166,2,28,0.5,0.5,0,6.12,0.3,35.42,0
2,2020-07-01 00:46:05,2020-07-01 00:47:58,1,.75,1,N,238,236,1,4,0.5,0.5,0.8,0,0.3,6.1,0
2,2020-07-01 00:53:17,2020-07-01 01:04:18,1,4.44,1,N,263,7,2,14.5,0.5,0.5,0,0,0.3,18.3,2.5
2,2020-07-01 00:03:02,2020-07-01 00:07:35,2,2.39,1,N,137,232,1,8.5,0.5,0.5,2.46,0,0.3,14.76,2.5
2,2020-07-01 00:36:59,2020-07-01 00:51:01,3,6.42,1,N,137,97,2,20.5,0.5,0.5,0,0,0.3,24.3,2.5
2,2020-07-01 00:48:36,2020-07-01 00:57:29,1,3.77,1,N,107,263,1,11.5,0.5,0.5,1.53,0,0.3,16.83,2.5
2,2020-07-01 00:05:24,2020-07-01 00:14:11,1,2.89,1,N,263,170,2,10,0.5,0.5,0,0,0.3,13.8,2.5
2,2020-06-30 23:59:23,2020-07-01 00:13:26,1,5.07,1,N,114,236,1,16.5,0.5,0.5,3,0,0.3,23.3,2.5
2,2020-07-01 00:15:59,2020-07-01 00:29:58,3,2.55,1,N,75,166,1,12,0.5,0.5,0,0,0.3,13.3,0
2,2020-07-01 00:45:47,2020-07-01 00:54:11,4,1.95,1,N,142,164,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,2020-07-01 01:00:18,2020-07-01 01:27:13,1,12.66,1,N,68,248,1,36.5,0.5,0.5,2.75,0,0.3,40.55,0
2,2020-07-01 00:26:27,2020-07-01 00:57:14,1,11.60,1,N,114,128,1,35.5,0.5,0.5,0,0,0.3,39.3,2.5
2,2020-07-01 00:06:29,2020-07-01 00:26:40,1,10.27,1,N,138,238,1,29.5,0.5,0.5,9.86,6.12,0.3,49.28,2.5
2,2020-07-01 00:34:01,2020-07-01 00:47:57,1,5.31,1,N,142,4,1,17.5,0.5,0.5,5.32,0,0.3,26.62,2.5
2,2020-07-01 00:05:27,2020-07-01 00:20:15,1,7.48,1,N,140,25,1,22.5,0.5,0.5,6.58,0,0.3,32.88,2.5
2,2020-07-01 00:22:32,2020-07-01 00:46:40,1,5.27,1,N,25,89,1,20,0.5,0.5,4.26,0,0.3,25.56,0
2,2020-07-01 00:02:08,2020-07-01 00:18:04,1,4.98,1,N,79,13,1,17,0.5,0.5,4.16,0,0.3,24.96,2.5
2,2020-07-01 00:21:09,2020-07-01 00:34:00,1,5.66,1,N,13,137,1,18,0.5,0.5,3,0,0.3,24.8,2.5
1,2020-07-01 00:29:32,2020-07-01 00:35:36,1,1.30,1,N,211,232,1,7,3,0.5,2.15,0,0.3,12.95,2.5
1,2020-07-01 00:04:26,2020-07-01 00:17:19,2,2.40,1,N,179,8,2,11,0.5,0.5,0,0,0.3,12.3,0
2,2020-07-01 00:10:41,2020-07-01 00:19:54,1,2.12,1,N,142,140,1,9,0.5,0.5,3.2,0,0.3,16,2.5
2,2020-07-01 00:24:13,2020-07-01 00:28:34,2,1.67,1,N,141,75,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
2,2020-07-01 00:39:54,2020-07-01 00:49:20,2,2.77,1,N,141,100,1,10,0.5,0.5,3.45,0,0.3,17.25,2.5
2,2020-07-01 00:39:29,2020-07-01 00:57:16,1,5.99,1,N,166,7,1,19.5,0.5,0.5,5,6.12,0.3,31.92,0
2,2020-07-01 00:18:54,2020-07-01 00:25:14,1,2.33,1,N,114,162,1,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,2020-07-01 00:10:56,2020-07-01 00:13:01,6,.73,1,N,75,74,2,4,0.5,0.5,0,0,0.3,5.3,0
2,2020-07-01 00:18:59,2020-07-01 00:35:22,1,6.52,1,N,137,80,4,-21,-0.5,-0.5,0,0,-0.3,-24.8,-2.5
2,2020-07-01 00:18:59,2020-07-01 00:35:22,1,6.52,1,N,137,80,2,21,0.5,0.5,0,0,0.3,24.8,2.5
2,2020-07-01 00:01:58,2020-07-01 00:27:31,1,12.23,1,N,138,48,1,35.5,0.5,0.5,6,6.12,0.3,51.42,2.5
2,2020-06-30 23:42:25,2020-07-01 00:05:46,1,6.98,1,N,143,247,2,23.5,0.5,0.5,0,0,0.3,27.3,2.5
1,2020-07-01 00:01:40,2020-07-01 00:12:19,2,2.40,1,N,151,116,1,10.5,0.5,0.5,2.95,0,0.3,14.75,0
1,2020-07-01 00:30:51,2020-07-01 00:36:44,2,1.50,1,N,238,166,1,7.5,3,0.5,0,0,0.3,11.3,2.5
1,2020-07-01 00:12:23,2020-07-01 00:22:57,1,2.30,1,N,68,148,2,10,3,0.5,0,0,0.3,13.8,2.5
1,2020-07-01 00:27:23,2020-07-01 00:30:13,1,.70,1,N,148,79,1,4.5,3,0.5,1,0,0.3,9.3,2.5
2,2020-07-01 00:24:51,2020-07-01 00:32:30,2,2.10,1,N,48,158,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2020-07-01 00:42:04,2020-07-01 00:45:39,2,1.05,1,N,48,48,2,5,0.5,0.5,0,0,0.3,8.8,2.5
1,2020-07-01 00:04:38,2020-07-01 00:09:25,1,1.00,1,N,249,186,2,6,3,0.5,0,0,0.3,9.8,2.5
1,2020-07-01 00:18:56,2020-07-01 00:20:35,1,.50,1,N,125,249,1,3.5,3,0.5,1,0,0.3,8.3,2.5
1,2020-07-01 00:31:45,2020-07-01 00:50:50,2,6.20,1,N,249,37,1,20.5,3,0.5,4.85,0,0.3,29.15,2.5
1,2020-07-01 00:13:01,2020-07-01 00:35:14,1,14.60,1,N,162,16,2,40.5,3,0.5,0,0,0.3,44.3,2.5
2,2020-07-01 00:09:30,2020-07-01 00:12:54,1,.70,1,N,230,100,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
1,2020-07-01 00:07:46,2020-07-01 00:16:16,1,2.00,1,N,170,141,1,8.5,3,0.5,3.65,0,0.3,15.95,2.5
1,2020-07-01 00:34:45,2020-07-01 00:53:39,1,4.90,1,N,249,262,1,17.5,3,0.5,2.7,0,0.3,24,2.5
2,2020-07-01 00:48:58,2020-07-01 01:01:27,1,4.82,1,N,75,145,1,15,0.5,0.5,0,0,0.3,18.8,2.5
2,2020-07-01 00:12:29,2020-07-01 00:19:56,1,1.73,1,N,263,238,1,8,0.5,0.5,1,0,0.3,12.8,2.5
1,2020-07-01 00:11:19,2020-07-01 00:16:24,1,1.10,1,N,138,70,2,6,0.5,0.5,0,0,0.3,7.3,0
1,2020-07-01 00:38:12,2020-07-01 01:14:52,2,25.90,1,N,138,156,4,68,0.5,0.5,0,12.24,0.3,81.54,0
2,2020-07-01 00:14:26,2020-07-01 00:17:41,2,.77,1,N,137,107,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
1,2020-07-01 00:36:09,2020-07-01 00:42:25,1,2.30,1,N,48,236,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5
2,2020-07-01 00:58:59,2020-07-01 01:06:59,1,3.57,1,N,74,119,1,11.5,0.5,0.5,2.56,0,0.3,15.36,0
1,2020-07-01 00:55:52,2020-07-01 01:14:25,1,7.80,1,N,68,159,1,24.5,3,0.5,5.65,0,0.3,33.95,2.5
2,2020-07-01 00:04:05,2020-07-01 00:18:10,1,6.31,1,N,137,97,1,19.5,0.5,0.5,0,0,0.3,23.3,2.5
1,2020-07-01 00:16:21,2020-07-01 00:46:16,1,18.50,4,N,50,265,1,67,3,0.5,5,0,0.3,75.8,2.5
2,2020-07-01 00:16:15,2020-07-01 00:44:00,2,10.80,1,N,186,26,1,32.5,0.5,0.5,3.7,0,0.3,40,2.5
1,2020-07-01 00:24:19,2020-07-01 00:32:39,1,1.60,1,N,234,144,1,8,3,0.5,1,0,0.3,12.8,2.5
1,2020-07-01 00:46:44,2020-07-01 01:05:20,1,4.10,1,N,90,238,1,17,3,0.5,4.15,0,0.3,24.95,2.5
1,2020-07-01 00:08:43,2020-07-01 00:33:43,1,5.70,1,N,186,217,2,21.5,3,0.5,0,0,0.3,25.3,2.5
2,2020-07-01 00:15:37,2020-07-01 00:34:29,1,14.19,1,N,132,7,1,38.5,0.5,0.5,7.96,0,0.3,47.76,0
2,2020-07-01 00:38:02,2020-07-01 00:49:24,1,2.47,1,N,7,145,2,10.5,0.5,0.5,0,0,0.3,11.8,0
2,2020-07-01 00:15:10,2020-07-01 00:17:55,1,.88,1,N,141,229,1,4.5,0.5,0.5,0.5,0,0.3,8.8,2.5
2,2020-07-01 00:33:27,2020-07-01 00:41:52,1,2.22,1,N,114,261,1,9,0.5,0.5,2,0,0.3,14.8,2.5
1,2020-07-01 00:15:07,2020-07-01 00:39:00,1,7.00,1,N,263,173,2,23.5,3,0.5,0,0,0.3,27.3,2.5
1,2020-07-01 00:47:31,2020-07-01 01:05:14,1,7.90,1,N,138,96,2,24,0.5,0.5,0,0,0.3,25.3,0
2,2020-07-01 00:39:43,2020-07-01 00:42:22,2,1.07,1,N,75,41,1,5,0.5,0.5,0,0,0.3,6.3,0
2,2020-07-01 00:19:37,2020-07-01 00:27:20,1,1.54,1,N,231,232,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2020-07-01 00:33:35,2020-07-02 00:27:20,1,8.31,1,N,148,41,1,25,0.5,0.5,2.88,0,0.3,31.68,2.5
2,2020-07-01 00:59:08,2020-07-01 01:07:28,1,1.61,1,N,166,244,2,8,0.5,0.5,0,0,0.3,9.3,0
2,2020-07-01 00:08:12,2020-07-01 00:17:32,1,2.33,1,N,229,142,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,2020-07-01 00:27:41,2020-07-01 00:35:32,1,3.21,1,N,249,143,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,2020-07-01 00:08:42,2020-07-01 00:20:20,2,4.17,1,N,137,193,2,14,0.5,0.5,0,0,0.3,17.8,2.5
2,2020-07-01 00:39:57,2020-07-01 00:44:22,1,1.51,1,N,229,262,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
2,2020-07-01 00:45:33,2020-07-01 00:49:30,1,1.30,1,N,262,74,2,6,0.5,0.5,0,0,0.3,9.8,2.5
1,2020-07-01 00:05:05,2020-07-01 00:16:12,1,4.20,1,N,231,142,1,13.5,3,0.5,3.46,0,0.3,20.76,2.5
1,2020-07-01 00:21:25,2020-07-01 00:50:22,1,7.40,1,N,48,244,1,27.5,3,0.5,0,0,0.3,31.3,2.5
1,2020-07-01 00:12:49,2020-07-01 00:17:58,1,.90,1,N,41,151,1,6,0.5,0.5,1.45,0,0.3,8.75,0
